PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Schurz High School Aquaponics Lab,CPS,Schools,3601 North Milwaukee Av,Portage Park,T-058,Portage Park,T-058,Renovation of existing space into a brand-new aquaponics classroom. Includes full MEP infrastructure with architectural renovation to the existing space to make it more usable and inviting.,740000,1200000,0.62,09/27/2022,Approved,POINT (-87.73594 41.94808)
Cornerstone Non-Congregate Shelter Grant Program,DOH,Affordable Housing,1132-1140  West Wilson Av,Wilson Yard,T-110,Wilson Yard,T-110,"Cornerstone will purchase site using grant funds, remodeling/creating 40 non-congregate shelter units. On-site case management for residents and increased accessibility via elevator installation and four fully ADA-accessible units.",5000000,9460000,0.53,12/19/2023,Approved,POINT (-87.65906 41.9654)
Damen Green Line Station - Additional Funding,CDOT,Transit Facilities,2000 W Lake St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Additional construction funding to award construction contract. Bids came in high due to industry/supply chain fluctuations caused by the pandemic.,11320000,86320000,0.13,05/25/2021,Approved,POINT (-87.67692 41.88498)
28th Ward Street Resurfacing,CDOT,Public Infrastructure,,Madison Austin,T-075,Madison Austin,T-075,Resurfacing of various residential streets throughout the 28th Ward.,45000,1400000,0.03,12/17/2024,Approved,POINT (-87.63245 41.88425)
Left-Turn Study & Installation for Pulaski at Cermak,CTA,Transit Facilities,2200 S Pulaski Rd,Ogden Pulaski,T-161,Ogden Pulaski,T-161,"With three intersections within very close proximity and varying signal timing for northbound and southbound movements on Pulaski, a left-turn will allow for a safer intersection for bus operators.",50000,50000,1,09/15/2020,Approved,POINT (-87.72518 41.85118)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Foster California,T-177,Foster California,T-177,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",57530,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
Chicago Central City Framework Plan,DPD,"Plans, Studies, and Administration",,Jefferson Roosevelt,T-101,Jefferson Roosevelt,T-101,"Chicago Central City Framework Plan, to be aligned with We Will pillars and engagement.",36750,550000,0.5,06/28/2022,Approved,POINT (-87.63245 41.88425)
Auburn Gresham ISW,DOH,Affordable Housing,838 West 79th St,79th Street Corridor,T-056,79th Street Corridor,T-056,"This is a 57 unit project on two sites. City financing will consist of TIF and 4% tax credits/bonds, as well as an additional tbd City source. Development team was selected through ISW RFP process for 79th/Halsted.",15000000,36673938,0.41,02/22/2022,Approved,POINT (-87.64559 41.75061)
Ornamental Street Light Pole Replacement,CDOT,Public Infrastructure,Various Addresses,Bryn Mawr Broadway,T-013,Bryn Mawr Broadway,T-013,Replace damaged ornamental street light poles.,530000,530000,1,04/07/2020,Approved,
Beverly Ridge Roadway Improvements,CDOT,Public Infrastructure,10600-10700  South Glenroy Av,105th Vincennes,T-111,105th Vincennes,T-111,"Design and construction of street resurfacing, roadway realignment, installation of concrete courtesy walks, and improved street lighting.",1600000,1600000,1,09/24/2024,Approved,POINT (-87.65803 41.69932)
Logan Square - Street Improvements,CDOT,Public Infrastructure,2579 N. Milwaukee Av,Fullerton/Milwaukee,T-087,Fullerton/Milwaukee,T-087,"A redesign of the Logan Square Circle to improve pedestrian access, allow flexible use of public streets, and improve traffic and safety.",12000000,12000000,1,11/05/2019,Under Further Review,POINT (-87.70552 41.92791)
Lake Street Bridge Replacement - Track Improvements,CTA,Transit Facilities,350-400 W. Lake Street,Lasalle Central,T-147,Lasalle Central,T-147,Perform critical replacements of track components on the approaches to the Lake Street Bridge. This is supplemental to the work that CDOT is doing for trackwork on the bridge itself and will include special trackwork (crossovers) and signal scope. It will be designed and constructed under a separate contract.,7000000,7000000,1,10/01/2019,Approved,POINT (-87.63912 41.88572)
"Arterial Resurfacing Projects 87, 88, 89, & 90",CDOT,Public Infrastructure,Various,73rd University,T-145,73rd University,T-145,"Pavement resurfacing, ADA Ramp Improvements, Curb Extensions, Pedestrian Refuge Islands, and updated Pavement Markings.",455831,455831,1,04/07/2020,Approved,
Arterial Resurfacing - North Central Park Ave,CDOT,Public Infrastructure,800-1300 N Central Park Av,Division Homan,T-107,Division Homan,T-107,"Resurfacing, ADA ramps, curb extensions, pedestrian refuge islands, and radii geometric improvements.",410000,1000000,1,10/20/2020,Approved,POINT (-87.71631 41.89598)
Streets for Cycling - Illinois Medical District,CDOT,Public Infrastructure,1600-1800 West Harrison St,Central West,T-086,Central West,T-086,"Installation of new pedestrian refuge island, buffered bike lanes, neighborhood greenway, and pedestrian safety infrastructure using concrete, pavement markings, flexible delineators, and signage.",155000,155000,1,07/09/2019,Approved,POINT (-87.67266 41.8741)
SBIF Funding Recommendation,DPD,Economic Development,,87th Cottage Grove,T-127,87th Cottage Grove,T-127,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,750000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
The Come Home Initiative,DPD,Affordable Housing,Various,71st Stony Island,T-060,71st Stony Island,T-060,"An initiative to develop 'missing-middle' infill housing on city-owned land in 6 focus areas (Auburn Gresham, Bronzeville, Englewood, East Garfield Park, Humboldt Park, and Woodlawn).",1500000,12000000,0.13,04/25/2023,On hold,
CPS Environmental Conditions Assessment (Vacant Land),DPD,Economic Development,1418 S Kedzie Ave,Midwest,T-095,Midwest,T-095,"Environmental and real estate reports (Phase I, II, HMBS, appraisal, title report)",44934,44934,1,08/18/2020,Approved,POINT (-87.70554 41.86189)
Near North CHA-DPD-DOH Visioning,DPD,Planning and Administration,Various,Near North,T-030,Near North,T-030,"Visioning work to assist CHA in issuing future RFPs for large areas of CHA-owned land to prioritize projects and phases, identify realistic schedules and anticipated funding.",500000,500000,1,03/28/2023,Approved,
LISC Marketing Agreement,DPD,"Plans, Studies, and Administration",,Commercial Avenue,T-128,Commercial Avenue,T-128,Amend an original request of $4.515 million to include an additional $1.485 millon to match the $6 million request made to city council.  Project now involves LISC Chicago entering into a marketing aggreement with the city.,13504,6000000,0.25,04/20/2021,Approved,POINT (-87.63245 41.88425)
Legends South A3,DOH,Affordable Housing,4520  South State St,47th State,T-136,47th State,T-136,"The project will consist of 52 total residential units including a mix of 1, 2, and 3-bedroom units in two newly constructed buildings on the land bounded by S. State Street, East 45th Street, S. Dearborn Street (proposed) and E. 46th Street.",10000000,40019720,0.25,04/23/2024,Approved,POINT (-87.62615 41.81236)
Southwest Industrial Corridors TDL Uses Study,DPD,Economic Development,,47th Halsted,T-121,47th Halsted,T-121,"There is a pressing need to understand the impacts of freight and TDL related developments on infrastructure and communities.Â  The proposals seeks funds to conduct a study of existing and proposed freight/transportation, distribution, logistics uses.",3244,300000,1,08/18/2020,Approved,POINT (-87.63245 41.88425)
SBIF Funding Recommendation,DPD,Economic Development,,67th Wentworth,T-174,67th Wentworth,T-174,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,750000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
TIFWorks,DPD,Economic Development,Various,Austin Commercial,T-156,Austin Commercial,T-156,"Funding to support the new TIFWorks Trainer Led Model (Model 4), which is meant to support micro and small business in a downturning economy.",100000,100000,1,09/15/2020,Approved,
Chicago Central City Framework Plan,DPD,"Plans, Studies, and Administration",,LaSalle Central,T-147,LaSalle Central,T-147,"Chicago Central City Framework Plan, to be aligned with We Will pillars and engagement.",30000,550000,0.5,06/28/2022,Approved,POINT (-87.63245 41.88425)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Near North,T-030,Near North,T-030,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",364998,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
LISC Marketing Agreement,DPD,"Plans, Studies, and Administration",,South Chicago,T-093,South Chicago,T-093,Amend an original request of $4.515 million to include an additional $1.485 millon to match the $6 million request made to city council.  Project now involves LISC Chicago entering into a marketing aggreement with the city.,110246,6000000,0.25,04/20/2021,Approved,POINT (-87.63245 41.88425)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,South Chicago,T-093,South Chicago,T-093,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",335193,335193,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
Small Business Improvement Fund,DPD,Economic Development,Various,Austin Commercial,T-156,Austin Commercial,T-156,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1500000,1500000,1,02/11/2020,Approved,
2508 W 21st St - Franciscan NCS Acquisition and Rehab,DOH,Affordable Housing,2508-2538  West 21st St,Western Ogden,T-048,Western Ogden,T-048,"Franciscan Outreach seeks to acquire and rehab an existing industrial building at 2508 W 21st St. into non-congregate shelter, with 81 beds in non-congregate sleeping rooms, a 36-bed flex congregate shelter space, staff offices, case management and behavi",15000000,25000000,0.6,07/23/2024,Approved,POINT (-87.68887 41.85387)
Water Line Expansion - Englewood Connect RFP,DWM,Public Infrastructure,6215 South Green St,Englewood Mall,T-021,Englewood Mall,T-021,Water Line Expansion to accommodate the Englewood Connect RFP project.,482710,482710,1,01/25/2022,Approved,POINT (-87.64608 41.78229)
Milwaukee Avenue Equitable Growth Plan,DPD,"Plans, Studies, and Administration",2000-5200 North Milwaukee Av,Portage Park,T-058,Portage Park,T-058,"Study and d evelop strategies for: preventing residential displacement, preserving historic structures and buildings, identifying affordable housing opportunities, and Improving the public way.",156000,600000,1,10/19/2021,Approved,POINT (-87.689 41.9178)
Chimney/Stack Reduction: Armour ES,CPS,Schools,950 West 33rd Pl,35th Halsted,T-001,35th Halsted,T-001,Shorten the height of the building's chimney stack to address structural stability concerns.,750000,750000,1,05/06/2020,Approved,POINT (-87.65042 41.8341)
SBIF Ordinances 2024,DPD,Economic Development,,Ewing Avenue,T-169,Ewing Avenue,T-169,The Small Business Improvement Fund provides non-competitive grants to small businesses to make permanent building improvements and repairs.,1000000,1000000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
4301 W Madison St Alley Reconstruction,CDOT,Public Infrastructure,4301 West Madison St,Madison Austin,T-075,Madison Austin,T-075,"This project funds the survey, design, construction and construction management of a new green alley. Existing cobblestone alley is at the end of its useful life and requires reconstruction in order to make useable.",500000,500000,1,05/08/2023,Approved,POINT (-87.73325 41.88065)
115th and Michigan Environmental Work,AIS,Municipal Facilities,11500 South Michigan Av,Roseland Michigan,T-113,Roseland Michigan,T-113,A Phase I and Phase II environmental review of the property must be completed for the City to acquire the property.,35000,35000,1,11/17/2020,Approved,POINT (-87.62078 41.68522)
Belmont Bridge - Repairs,CDOT,Public Infrastructure,2580 W Belmont Avenue,Western Av South,T-085,Western Av South,T-085,"Phase 1, 2 and 3 for design and construction of the bridge",18300000,18300000,1,11/05/2019,Approved,POINT (-87.69265 41.93942)
Small Business Improvement Fund,DPD,Economic Development,Various,Lawrence/Broadway,T-109,Lawrence/Broadway,T-109,Authorization of a 3-year allocation of TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund improvements to their buildings.,2500000,2500000,1,01/21/2020,Approved,
Garfield Park Street Resurfacing,CDOT,Public Infrastructure,3800-3900 West Van Buren St,Midwest,T-095,Midwest,T-095,"Resurfacing of roadway in poor condition, including addressing ADA issues",80000,80000,1,09/03/2019,Approved,POINT (-87.7233 41.87531)
Joint Safety Policy Training Academy - Phase II Community Programming & Design Analysis,DPD,"Plans, Studies, and Administration",4301 West Chicago Av,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,Programming and design analysis for Phase II of the JSPTA to integrate community programming and amenities.,250000,250000,1,02/25/2020,Approved,POINT (-87.73468 41.89523)
Pulaski & Dickens - New Traffic Signal Installation,CDOT,Public Infrastructure,2100 North Pulaski Rd,Pulaski Corridor,T-069,Pulaski Corridor,T-069,Installation of new traffic signals and equipment and restoration of the intersection.,450000,450000,1,02/11/2020,Approved,POINT (-87.72661 41.91914)
Chicago Public Library  Capital Strategic Plan,DPD,Planning and Administration,Various,Lincoln Av,T-077,Lincoln Av,T-077,"CPL is seeking a consultant to create a comprehensive design and strategies guide for facilities design, planning, and improvements for the next 20 years, with an emphasis on a five-year commitment towards addressing the Facilities with highest needs.",6173,500000,0.01,04/25/2023,Approved,
